,TARGETID,Redrock z,Redrock spectype,best z,best spectype,best flag,N_VI,all VI issue,all VI comments,merger comment,DELTACHI2,ZWARN,ZERR,FIBER,FLUX_G,FLUX_R,FLUX_Z,FIBERFLUX_G,FIBERFLUX_R,FIBERFLUX_Z,MW_TRANSMISSION_G,MW_TRANSMISSION_R,MW_TRANSMISSION_Z
1191,3.51913E+16,0.2426,GALAXY,0.2426,GALAXY,4,3,--|--|--,--|--|--,none,4930.703401,0,3.50E-06,299,5.5597124,10.385317,13.183816,1.9840571,3.706138,4.7048197,0.94003814,0.9592027,0.9769706
1192,3.51913E+16,0.2075,GALAXY,0.2075,GALAXY,4,3,--|--|--,--|--| LRG,none,5685.043191,0,3.48E-05,266,20.52672,71.56628,142.78421,5.380204,18.758047,37.42479,0.94107044,0.95991206,0.97737473
1193,3.51913E+16,0.2081,GALAXY,0.2081,GALAXY,4,3,--|--|--,--|--| LRG,none,2373.926229,0,4.40E-05,258,16.146564,56.061066,112.786804,4.552884,15.807669,31.802755,0.9425892,0.9609554,0.9779688
1194,3.51913E+16,0.2021,GALAXY,0.2021,GALAXY,4,3,--|--|--,--|--| LRG,none,832.1796238,0,4.12E-05,252,4.7507205,15.466517,29.962242,2.483765,8.086183,15.664817,0.9413572,0.9601091,0.97748697
1195,3.51913E+16,0.2061,GALAXY,0.2061,GALAXY,3.666666667,3,--|--|--,--|--| LRG,none,216.5244631,0,8.68E-05,261,1.751183,5.650417,10.8545065,1.1480165,3.7042224,7.1158476,0.9418015,0.9604143,0.9776607
1196,3.51913E+16,0.2531,GALAXY,0.2531,GALAXY,4,3,--|--|--,--|--|--,none,1474.788123,0,8.93E-06,288,4.2980757,10.153656,16.973606,1.5764382,3.7241347,6.22554,0.9414197,0.96015203,0.9775114
1197,3.51913E+16,0.1017,GALAXY,0.1017,GALAXY,4,3,--|--|--,--|--|--,none,4751.843928,0,6.21E-06,276,24.881462,53.804928,91.88089,8.270236,17.883976,30.539871,0.9416949,0.96034116,0.97761905
1198,3.51913E+16,1.5169,GALAXY,1.5169,GALAXY,0,3,S|R|S,--| Looks like just noise to me| No signal in spectrum,none,10.5064685,0,0.000134553,271,3.122688,16.47544,43.842022,1.1536328,6.0866165,16.196812,0.9421285,0.96063894,0.9777886
1199,3.51913E+16,0.1264,GALAXY,0.1264,GALAXY,4,3,--|--|--,--|--|--,none,2662.785076,0,4.70E-06,298,15.09359,25.28192,34.349655,2.1676104,3.6307697,4.932999,0.9454115,0.9628926,0.9790711
1200,3.51913E+16,0.1272,GALAXY,0.1272,GALAXY,4,4,--|--|--|--,--|--|--|--,none,17195.0156,0,1.58E-06,253,16.453588,22.49723,27.4382,3.5166903,4.808422,5.864475,0.94307226,0.961287,0.9781576
1201,3.51913E+16,0.221,GALAXY,0.221,GALAXY,4,4,--|--|--|--,--|--|--|--,none,2474.213135,0,1.11E-05,255,10.155538,27.015451,52.878674,2.578263,6.8586164,13.424706,0.9463987,0.96356976,0.9794561
1202,3.51913E+16,0.1036,GALAXY,0.1036,GALAXY,3.25,4,--|--|--|--, model is a decent fit but data by themselves look poor|--|--|--,none,138.7326935,0,0.000101187,4981,2.9764435,7.1127625,12.729668,1.5564218,3.7193577,6.656512,0.95134646,0.96696025,0.98138237
1203,3.51913E+16,0.1023,GALAXY,0.1023,GALAXY,4,4,--|--|--|--,--| LRG|--|--,none,2276.531866,0,2.75E-05,245,22.189482,52.28418,92.93002,5.9257154,13.962523,24.817022,0.9546723,0.9692361,0.9826737
1204,3.51913E+16,0.1029,GALAXY,0.1029,GALAXY,4,4,--|--|--|--,--| LRG|--|--,none,11395.263,0,1.39E-05,221,63.516197,148.64456,257.32025,20.26526,47.426025,82.09972,0.95294535,0.96805465,0.9820035
1205,3.51913E+16,0.2758,GALAXY,0.2758,GALAXY,4,4,--|--|--|--,--|--|--|--,none,1369.465305,0,7.23E-06,4990,6.140443,11.644853,15.567799,1.1560426,2.192341,2.930902,0.9489578,0.9653241,0.98045325
